s_triangle,b_triangle,s_c_triangle,b_c_triangle,s_square,b_square,b_c_square,s_rect,b_rect,b_c_rect,s_half,b_half,s_c_half,b_c_half,pink_el,beans,gums
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,2,0,0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,2,1,0,0,0,1,2,1,3,1,0
1,0,0,0,0,1,0,0,1,0,2,0,0,1,2,0,0
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
0,1,1,3,0,0,1,0,2,0,0,0,0,1,0,2,0
0,0,1,1,0,0,3,1,0,0,0,0,0,2,1,0,0
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,1
1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
2,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
