s_triangle,b_triangle,s_c_triangle,b_c_triangle,s_square,b_square,b_c_square,s_rect,b_rect,b_c_rect,s_half,b_half,s_c_half,b_c_half,pink_el,beans,gums
0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032,0
0,0,0,0.014,0,0,0.03,0.014,0,0,0,0,0,0,0,0,0
0.003,0.014,0,0.014,0.006,0.03,0.06,0,0,0,0,0.054,0,0.054,0,0,0
0,0.014,0.003,0.014,0.006,0,0.06,0.014,0,0,0,0.054,0.064,0.054,0.195,1.032,0
0.003,0,0,0,0,0.03,0,0,0.061,0,0.064,0,0,0.054,0.13,0,0
0,0,0,0,0.006,0,0,0,0,0.122,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032,0
0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,3.096,0
0,0.014,0.003,0.042,0,0,0.03,0,0.122,0,0,0,0,0.054,0,2.064,0
0,0,0.003,0.014,0,0,0.09,0.014,0,0,0,0,0,0.108,0.065,0,0
0,0,0.006,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0.065,0,0
0.003,0.014,0,0,0,0.03,0,0.014,0.061,0,0,0,0,0,0,1.032,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.03,0,0.028,0,0,0,0.054,0,0,0.065,0,0
0,0,0,0,0,0,0,0.014,0,0,0.032,0.108,0,0,0.13,0,3
0.003,0.014,0.003,0.014,0.006,0,0.03,0,0.061,0.061,0,0,0,0,0,0,0
0,0.014,0,0.014,0,0,0,0,0,0,0,0.054,0,0,0,0,0
0,0,0.003,0.014,0,0,0,0,0,0,0,0,0,0,0.065,0,0
0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0.014,0.061,0,0.064,0,0,0,0,0,0
0.006,0.014,0,0,0,0,0,0.042,0,0,0,0.054,0,0,0,1.032,0
0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,1.032,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
